group,check,status,detail,computed,expected,tolerance
provenance,public_result_file_hashes,PASS,All 11 result files match the provenance manifest.,11,11,
main_th_shrc,oof_design,PASS,"503 unique records, 30 CowKey values, and five within-cow random OOF folds.","rows=503, cows=30","rows=503, cows=30, folds=1..5",
main_th_shrc,official_oof_metrics,PASS,"R2, RMSE, MAE, and 0.5 C coverage recomputed from all OOF predictions.","{""MAE"": 0.1345534257161156, ""R2"": 0.8551359051012453, ""RMSE"": 0.25195565941200593, ""Within_0_5C"": 0.9423459244532804}","{""MAE"": 0.1345534257161156, ""R2"": 0.8551359051012453, ""RMSE"": 0.25195565941200593, ""Within_0_5C"": 0.9423459244532804}",1e-12
main_th_shrc,stored_residuals,PASS,Every stored residual equals Actual - Predicted.,7.202571872255703e-15,0.0,1e-12
benchmark,benchmark_shape,PASS,All 33 models contain one prediction for each of 503 records.,"rows=16599, models=33","rows=16599, models=33",
benchmark,benchmark_record_identity,PASS,Each model uses the same RowID and Actual values as the official OOF table.,0,0,
benchmark,benchmark_metrics,PASS,All displayed benchmark metrics recomputed from row-level predictions.,4.440892098500626e-16,0.0,1e-10
benchmark,proposed_model_matches_official_oof,PASS,TH_SHRC benchmark predictions match the OOF reference.,0.0,0.0,1e-12
ablation,ablation_record_identity,PASS,Ablation rows and the full A+B+C prediction match the official OOF table.,"rows=503, max_diff=0.0","rows=503, max_diff=0",1e-12
ablation,ablation_metrics,PASS,All four mechanism-level configurations were recomputed from 503 OOF rows.,6.661338147750939e-16,0.0,1e-10
ablation,ablation_bootstrap_reference_summary,PASS,"The 10,000-replicate summary has valid intervals and point deltas consistent with the recalculated metrics.","rows=3, max_point_diff=1.6653345369377348e-16","rows=3, max_point_diff=0",1e-12
shap,shap_record_identity,PASS,SHAP rows match the anonymous identity and measurement fields.,"rows=503, max_diff=0.0","rows=503, max_diff=0",1e-12
shap,shap_four_group_summary,PASS,Four displayed SHAP group summaries and their ranking were recomputed from 503 rows.,"max_diff=5.551115123125783e-17, rank=['Time_diurnal', 'Ear_temperature', 'Cow_identity', 'Ambient_temperature']","max_diff=0, rank=['Time_diurnal', 'Ear_temperature', 'Cow_identity', 'Ambient_temperature']",1e-12
shap,shap_internal_additivity,PASS,Technical baseline plus four conditional SHAP groups reconstructs the conditional full-pipeline value.,0.0,0.0,1e-12
shap,shap_official_oof_boundary,PASS,The conditional SHAP table reconstructs the conditional full-pipeline value; reported accuracy metrics are recomputed from the OOF predictions.,max_abs_conditional_vs_official=0.14352658317555722,max_abs_conditional_vs_official=0.14352658317555722,1e-12
lora,packet_test_design,PASS,The packet table contains 5 distances x 8 directions x 100 packets.,"rows=4000, cells=40, counts=[100]","rows=4000, cells=40, counts=[100]",
lora,packet_delivery_ratio,PASS,PDR values were recomputed from all packet-level Received flags.,"{""200m"": 0.93875, ""250m"": 0.83125, ""lost"": 249, ""overall"": 0.93775, ""received"": 3751}","{""received"": 3751, ""lost"": 249, ""overall"": 0.93775, ""200m"": 0.93875, ""250m"": 0.83125}",
lora,packet_signal_consistency,PASS,Received and packet-loss flags are complementary; the 249 lost-packet 91 sentinels are preserved only in SourceSentinelValue and excluded from RSSI/SNR.,,,
