group,check,status,detail,computed,expected,tolerance
provenance,public_result_file_hashes,PASS,11 个结果文件均与来源清单一致。,11,11,
main_th_shrc,oof_design,PASS,503 条唯一记录、30 个 CowKey，以及 5 个牛内随机 OOF 折。,"rows=503, cows=30","rows=503, cows=30, folds=1..5",
main_th_shrc,official_oof_metrics,PASS,根据全部 OOF 预测重新计算 R2、RMSE、MAE 和 0.5 °C 覆盖率。,"{""MAE"": 0.1345534257161156, ""R2"": 0.8551359051012453, ""RMSE"": 0.25195565941200593, ""Within_0_5C"": 0.9423459244532804}","{""MAE"": 0.1345534257161156, ""R2"": 0.8551359051012453, ""RMSE"": 0.25195565941200593, ""Within_0_5C"": 0.9423459244532804}",1e-12
main_th_shrc,stored_residuals,PASS,每个已存残差均等于 Actual - Predicted。,7.202571872255703e-15,0.0,1e-12
基准模型,benchmark_shape,PASS,33 个模型均为 503 条记录各提供一个预测值。,"rows=16599, models=33","rows=16599, models=33",
基准模型,benchmark_record_identity,PASS,每个模型使用与官方 OOF 表相同的 RowID 和 Actual 值。,0,0,
基准模型,benchmark_metrics,PASS,所有展示的基准指标均由逐行预测重新计算。,4.440892098500626e-16,0.0,1e-10
基准模型,proposed_model_matches_official_oof,PASS,TH-SHRC 基准预测与 OOF 参考值一致。,0.0,0.0,1e-12
消融,ablation_record_identity,PASS,消融逐行数据及完整 A+B+C 预测与官方 OOF 表一致。,"rows=503, max_diff=0.0","rows=503, max_diff=0",1e-12
消融,ablation_metrics,PASS,4 个机制配置均由 503 条 OOF 记录重新计算。,6.661338147750939e-16,0.0,1e-10
消融,ablation_bootstrap_reference_summary,PASS,"10,000 次重复摘要的区间有效，点差值与重算指标一致。","rows=3, max_point_diff=1.6653345369377348e-16","rows=3, max_point_diff=0",1e-12
shap,shap_record_identity,PASS,SHAP 逐行数据与匿名标识及测量字段一致。,"rows=503, max_diff=0.0","rows=503, max_diff=0",1e-12
shap,shap_four_group_summary,PASS,4 个展示的 SHAP 分组摘要及其排序均由 503 条记录重新计算。,"max_diff=5.551115123125783e-17, rank=['Time_diurnal', 'Ear_temperature', 'Cow_identity', 'Ambient_temperature']","max_diff=0, rank=['Time_diurnal', 'Ear_temperature', 'Cow_identity', 'Ambient_temperature']",1e-12
shap,shap_internal_additivity,PASS,技术基线加 4 个条件 SHAP 分组可重建条件全流程预测值。,0.0,0.0,1e-12
shap,shap_official_oof_boundary,PASS,条件 SHAP 表重建条件全流程预测值；报告指标由 OOF 预测重新计算。,max_abs_conditional_vs_official=0.14352658317555722,max_abs_conditional_vs_official=0.14352658317555722,1e-12
lora,packet_test_design,PASS,数据包表包含 5 个距离、8 个方向，每个组合 100 个数据包。,"rows=4000, cells=40, counts=[100]","rows=4000, cells=40, counts=[100]",
lora,packet_delivery_ratio,PASS,PDR 由全部数据包级 Received 标志重新计算。,"{""200m"": 0.93875, ""250m"": 0.83125, ""lost"": 249, ""overall"": 0.93775, ""received"": 3751}","{""received"": 3751, ""lost"": 249, ""overall"": 0.93775, ""200m"": 0.93875, ""250m"": 0.83125}",
lora,packet_signal_consistency,PASS,Received 与丢包标志互补；249 个丢包的 91 哨兵值仅保存在 SourceSentinelValue 中，不进入 RSSI/SNR。,,,
